! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  0.500    NXO=  20    NYO=  20
!    DOWNWELLING FLUX:   Z=  0.500
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   1.200   1.000    0.39988E-01   0.37780E+00   0.48099E+00
   1.300   1.000    0.35187E-01   0.35417E+00   0.50903E+00
   1.400   1.000    0.29697E-01   0.31815E+00   0.56008E+00
   1.500   1.000    0.24241E-01   0.27239E+00   0.62927E+00
   1.600   1.000    0.19382E-01   0.22125E+00   0.70839E+00
   1.700   1.000    0.15446E-01   0.17016E+00   0.78736E+00
   1.800   1.000    0.12563E-01   0.12442E+00   0.85685E+00
   1.900   1.000    0.10744E-01   0.87464E-01   0.91112E+00
   0.000   1.100    0.98830E-02   0.58375E-01   0.95101E+00
   0.100   1.100    0.10480E-01   0.46274E-01   0.96913E+00
   0.200   1.100    0.12124E-01   0.48939E-01   0.96700E+00
   0.300   1.100    0.14880E-01   0.65599E-01   0.94669E+00
   0.400   1.100    0.18764E-01   0.96666E-01   0.90860E+00
   0.500   1.100    0.23629E-01   0.14161E+00   0.85281E+00
   0.600   1.100    0.29100E-01   0.19685E+00   0.78202E+00
   0.700   1.100    0.34553E-01   0.25526E+00   0.70307E+00
   0.800   1.100    0.39220E-01   0.30823E+00   0.62581E+00
   0.900   1.100    0.42335E-01   0.34846E+00   0.56046E+00
   1.000   1.100    0.43359E-01   0.37223E+00   0.51451E+00
   1.100   1.100    0.42129E-01   0.37896E+00   0.49214E+00
   1.200   1.100    0.38900E-01   0.36983E+00   0.49500E+00
   1.300   1.100    0.34256E-01   0.34649E+00   0.52273E+00
   1.400   1.100    0.28941E-01   0.31086E+00   0.57299E+00
   1.500   1.100    0.23656E-01   0.26573E+00   0.64080E+00
   1.600   1.100    0.18947E-01   0.21548E+00   0.71802E+00
   1.700   1.100    0.15136E-01   0.16553E+00   0.79478E+00
   1.800   1.100    0.12346E-01   0.12098E+00   0.86206E+00
   1.900   1.100    0.10584E-01   0.85082E-01   0.91446E+00
   0.000   1.200    0.94838E-02   0.53891E-01   0.95642E+00
   0.100   1.200    0.10009E-01   0.42787E-01   0.97257E+00
   0.200   1.200    0.11475E-01   0.44961E-01   0.97067E+00
   0.300   1.200    0.13945E-01   0.59749E-01   0.95257E+00
   0.400   1.200    0.17436E-01   0.87625E-01   0.91850E+00
   0.500   1.200    0.21821E-01   0.12834E+00   0.86830E+00
