! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=FLUX                
!   X       Y       Z           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.100   0.600   0.400    0.49347E-02   0.51942E-01   0.96804E+00
   0.100   0.600   0.500    0.84634E-02   0.31687E-01   0.98294E+00
   0.100   0.600   0.600    0.12331E-01   0.16571E-01   0.99176E+00
   0.100   0.600   0.700    0.15960E-01   0.70366E-02   0.99659E+00
   0.100   0.600   0.800    0.19015E-01   0.22529E-02   0.99887E+00
   0.100   0.600   0.900    0.21401E-01   0.46868E-03   0.99972E+00
   0.100   0.600   1.000    0.23148E-01   0.00000E+00   0.10000E+01
   0.100   0.700   0.000    0.00000E+00   0.17451E+00   0.73320E+00
   0.100   0.700   0.100    0.19080E-03   0.14757E+00   0.81380E+00
   0.100   0.700   0.200    0.89455E-03   0.11816E+00   0.87908E+00
   0.100   0.700   0.300    0.25647E-02   0.88608E-01   0.92651E+00
   0.100   0.700   0.400    0.54545E-02   0.61123E-01   0.95793E+00
   0.100   0.700   0.500    0.93034E-02   0.37649E-01   0.97748E+00
   0.100   0.700   0.600    0.13463E-01   0.19846E-01   0.98910E+00
   0.100   0.700   0.700    0.17277E-01   0.84830E-02   0.99549E+00
   0.100   0.700   0.800    0.20376E-01   0.27342E-02   0.99851E+00
   0.100   0.700   0.900    0.22688E-01   0.57528E-03   0.99964E+00
   0.100   0.700   1.000    0.24287E-01   0.00000E+00   0.10000E+01
   0.100   0.800   0.000    0.00000E+00   0.18886E+00   0.68452E+00
   0.100   0.800   0.100    0.20827E-03   0.16145E+00   0.77751E+00
   0.100   0.800   0.200    0.97199E-03   0.13067E+00   0.85436E+00
   0.100   0.800   0.300    0.27796E-02   0.98992E-01   0.91097E+00
   0.100   0.800   0.400    0.58923E-02   0.68918E-01   0.94885E+00
   0.100   0.800   0.500    0.10009E-01   0.42787E-01   0.97257E+00
   0.100   0.800   0.600    0.14412E-01   0.22702E-01   0.98671E+00
   0.100   0.800   0.700    0.18374E-01   0.97522E-02   0.99449E+00
   0.100   0.800   0.800    0.21498E-01   0.31595E-02   0.99817E+00
   0.100   0.800   0.900    0.23734E-01   0.67067E-03   0.99955E+00
   0.100   0.800   1.000    0.25199E-01   0.00000E+00   0.10000E+01
   0.100   0.900   0.000    0.00000E+00   0.19774E+00   0.65224E+00
   0.100   0.900   0.100    0.21987E-03   0.17027E+00   0.75296E+00
   0.100   0.900   0.200    0.10237E-02   0.13879E+00   0.83739E+00
   0.100   0.900   0.300    0.29235E-02   0.10586E+00   0.90022E+00
   0.100   0.900   0.400    0.61849E-02   0.74149E-01   0.94253E+00
   0.100   0.900   0.500    0.10480E-01   0.46274E-01   0.96913E+00
