! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON KM)      WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=NET_FLUX_DIV        
!    X       Y        Z       -DIV(Fnet)
   0.100   0.100   0.200    0.55776E-04
   0.100   0.100   0.300    0.12207E-03
   0.100   0.100   0.400    0.19881E-03
   0.100   0.100   0.500    0.22792E-03
   0.100   0.100   0.600    0.19544E-03
   0.100   0.100   0.700    0.11813E-03
   0.100   0.100   0.800    0.53249E-04
   0.100   0.100   0.900    0.19038E-04
   0.100   0.100   1.000    0.17104E-04
   0.100   0.200   0.000    0.81232E-05
   0.100   0.200   0.100    0.36260E-04
   0.100   0.200   0.200    0.11168E-03
   0.100   0.200   0.300    0.24471E-03
   0.100   0.200   0.400    0.39082E-03
   0.100   0.200   0.500    0.45302E-03
   0.100   0.200   0.600    0.38396E-03
   0.100   0.200   0.700    0.23665E-03
   0.100   0.200   0.800    0.10664E-03
   0.100   0.200   0.900    0.34304E-04
   0.100   0.200   1.000    0.76396E-05
   0.100   0.300   0.000    0.16098E-04
   0.100   0.300   0.100    0.68297E-04
   0.100   0.300   0.200    0.20367E-03
   0.100   0.300   0.300    0.44754E-03
   0.100   0.300   0.400    0.71422E-03
   0.100   0.300   0.500    0.83181E-03
   0.100   0.300   0.600    0.70106E-03
   0.100   0.300   0.700    0.43240E-03
   0.100   0.300   0.800    0.19461E-03
   0.100   0.300   0.900    0.64896E-04
   0.100   0.300   1.000    0.15297E-04
   0.100   0.400   0.000    0.27719E-04
   0.100   0.400   0.100    0.11175E-03
