! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=FLUX                
!   X       Y       Z           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.110   0.000   0.825    0.38281E+00   0.00000E+00   0.10000E+01
   0.110   0.000   0.850    0.37900E+00   0.00000E+00   0.10000E+01
   0.110   0.000   0.900    0.37064E+00   0.00000E+00   0.10000E+01
   0.110   0.000   0.950    0.36355E+00   0.00000E+00   0.10000E+01
   0.110   0.000   1.000    0.36627E+00   0.00000E+00   0.10000E+01
   0.165   0.000   0.000    0.17165E-01   0.42684E+00   0.13812E-04
   0.165   0.000   0.050    0.17073E-01   0.42784E+00   0.15228E-04
   0.165   0.000   0.100    0.17096E-01   0.43107E+00   0.37523E-05
   0.165   0.000   0.150    0.17210E-01   0.43577E+00   0.50202E-04
   0.165   0.000   0.200    0.17386E-01   0.44087E+00   0.11115E-03
   0.165   0.000   0.250    0.17544E-01   0.44712E+00   0.40902E-03
   0.165   0.000   0.300    0.17716E-01   0.45704E+00   0.90592E-03
   0.165   0.000   0.350    0.17894E-01   0.47050E+00   0.27404E-03
   0.165   0.000   0.400    0.18077E-01   0.48221E+00   0.12225E-02
   0.165   0.000   0.425    0.18208E-01   0.48683E+00   0.82936E-02
   0.165   0.000   0.450    0.18327E-01   0.49252E+00   0.88589E-02
   0.165   0.000   0.475    0.18488E-01   0.50191E+00   0.49272E-02
   0.165   0.000   0.500    0.18784E-01   0.51244E+00   0.41557E-02
   0.165   0.000   0.525    0.19307E-01   0.52991E+00   0.42421E-02
   0.165   0.000   0.550    0.20903E-01   0.54565E+00   0.12569E-01
   0.165   0.000   0.575    0.23449E-01   0.56272E+00   0.20023E-01
   0.165   0.000   0.600    0.40009E-01   0.57751E+00   0.14848E-01
   0.165   0.000   0.625    0.75330E-01   0.58893E+00   0.15390E-01
   0.165   0.000   0.650    0.12060E+00   0.61032E+00   0.17389E-01
   0.165   0.000   0.675    0.17997E+00   0.65972E+00   0.49910E-01
   0.165   0.000   0.700    0.25763E+00   0.73149E+00   0.15695E+00
   0.165   0.000   0.725    0.36502E+00   0.60995E+00   0.38986E+00
   0.165   0.000   0.750    0.42300E+00   0.24803E+00   0.73936E+00
   0.165   0.000   0.775    0.41248E+00   0.47364E-04   0.10000E+01
   0.165   0.000   0.800    0.39224E+00   0.22533E-08   0.10000E+01
   0.165   0.000   0.825    0.38874E+00   0.00000E+00   0.10000E+01
   0.165   0.000   0.850    0.38047E+00   0.00000E+00   0.10000E+01
   0.165   0.000   0.900    0.37925E+00   0.00000E+00   0.10000E+01
   0.165   0.000   0.950    0.37232E+00   0.00000E+00   0.10000E+01
   0.165   0.000   1.000    0.37030E+00   0.00000E+00   0.10000E+01
   0.220   0.000   0.000    0.17034E-01   0.42360E+00   0.16945E-04
   0.220   0.000   0.050    0.17056E-01   0.42564E+00   0.56009E-05
   0.220   0.000   0.100    0.17115E-01   0.42884E+00   0.19291E-04
   0.220   0.000   0.150    0.17314E-01   0.43271E+00   0.10264E-03
   0.220   0.000   0.200    0.17489E-01   0.43780E+00   0.19697E-03
   0.220   0.000   0.250    0.17639E-01   0.44553E+00   0.95047E-03
   0.220   0.000   0.300    0.17780E-01   0.45551E+00   0.45623E-03
   0.220   0.000   0.350    0.17923E-01   0.46404E+00   0.37125E-03
   0.220   0.000   0.400    0.18115E-01   0.46961E+00   0.10264E-01
   0.220   0.000   0.425    0.18225E-01   0.47507E+00   0.73643E-02
   0.220   0.000   0.450    0.18367E-01   0.48516E+00   0.46092E-02
   0.220   0.000   0.475    0.18572E-01   0.49411E+00   0.39482E-02
   0.220   0.000   0.500    0.18923E-01   0.50596E+00   0.52016E-02
   0.220   0.000   0.525    0.19485E-01   0.51595E+00   0.16566E-01
   0.220   0.000   0.550    0.20809E-01   0.52647E+00   0.18181E-01
   0.220   0.000   0.575    0.23005E-01   0.52755E+00   0.11949E-01
   0.220   0.000   0.600    0.39526E-01   0.51959E+00   0.89180E-02
   0.220   0.000   0.625    0.72450E-01   0.52771E+00   0.94358E-02
   0.220   0.000   0.650    0.11618E+00   0.56032E+00   0.27026E-01
   0.220   0.000   0.675    0.16543E+00   0.60400E+00   0.68204E-01
   0.220   0.000   0.700    0.21687E+00   0.58146E+00   0.12088E+00
   0.220   0.000   0.725    0.29454E+00   0.44487E+00   0.31571E+00
   0.220   0.000   0.750    0.34456E+00   0.87577E-01   0.89813E+00
   0.220   0.000   0.775    0.34927E+00   0.33923E-04   0.10000E+01
   0.220   0.000   0.800    0.35555E+00   0.31540E-08   0.10000E+01
   0.220   0.000   0.825    0.35680E+00   0.00000E+00   0.10000E+01
   0.220   0.000   0.850    0.35837E+00   0.00000E+00   0.10000E+01
   0.220   0.000   0.900    0.35983E+00   0.00000E+00   0.10000E+01
   0.220   0.000   0.950    0.36057E+00   0.00000E+00   0.10000E+01
   0.220   0.000   1.000    0.35618E+00   0.00000E+00   0.10000E+01
   0.275   0.000   0.000    0.16726E-01   0.41594E+00   0.11364E-04
   0.275   0.000   0.050    0.16942E-01   0.41742E+00   0.58199E-05
   0.275   0.000   0.100    0.17235E-01   0.41951E+00   0.79200E-04
   0.275   0.000   0.150    0.17402E-01   0.42296E+00   0.12899E-03
   0.275   0.000   0.200    0.17574E-01   0.42923E+00   0.67419E-03
   0.275   0.000   0.250    0.17732E-01   0.43799E+00   0.72259E-03
   0.275   0.000   0.300    0.17846E-01   0.44508E+00   0.24235E-03
   0.275   0.000   0.350    0.17992E-01   0.44717E+00   0.39310E-02
   0.275   0.000   0.400    0.18170E-01   0.45038E+00   0.61445E-02
   0.275   0.000   0.425    0.18281E-01   0.45766E+00   0.44325E-02
   0.275   0.000   0.450    0.18411E-01   0.46419E+00   0.38255E-02
   0.275   0.000   0.475    0.18644E-01   0.47210E+00   0.70231E-02
   0.275   0.000   0.500    0.19061E-01   0.47659E+00   0.19607E-01
   0.275   0.000   0.525    0.19691E-01   0.48133E+00   0.15997E-01
   0.275   0.000   0.550    0.20874E-01   0.48012E+00   0.10916E-01
   0.275   0.000   0.575    0.22840E-01   0.46415E+00   0.66410E-02
   0.275   0.000   0.600    0.35074E-01   0.45097E+00   0.68891E-02
   0.275   0.000   0.625    0.63209E-01   0.45036E+00   0.16271E-01
