! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L=  1  M=  0  NLM=    2   NMU=  2  NPHI=  2  NANG=    4   NSH=     51628
!  NX=4096   NY=   1   NZ=  20    NPTS=  103771   NCELLS=  119876
!  PROPERTY_FILE=spot3D0p865CER12.prp            
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      0.87
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  19
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  1.000
!    DOWNWELLING FLUX:   Z=  0.000
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
 333.000   0.000    0.44472E+00   0.47224E+00   0.92939E-01
 334.000   0.000    0.43349E+00   0.47215E+00   0.84944E-01
 335.000   0.000    0.43316E+00   0.47241E+00   0.10780E+00
 336.000   0.000    0.42773E+00   0.47207E+00   0.97755E-01
 337.000   0.000    0.42429E+00   0.47198E+00   0.10851E+00
 338.000   0.000    0.43194E+00   0.47214E+00   0.11745E+00
 339.000   0.000    0.42522E+00   0.47105E+00   0.93600E-01
 340.000   0.000    0.41228E+00   0.46966E+00   0.10625E+00
 341.000   0.000    0.40514E+00   0.46891E+00   0.12887E+00
 342.000   0.000    0.40892E+00   0.46929E+00   0.13999E+00
 343.000   0.000    0.40830E+00   0.46789E+00   0.12313E+00
 344.000   0.000    0.38830E+00   0.46371E+00   0.11564E+00
 345.000   0.000    0.38772E+00   0.46451E+00   0.16938E+00
 346.000   0.000    0.39053E+00   0.46548E+00   0.15521E+00
 347.000   0.000    0.39649E+00   0.46704E+00   0.15050E+00
 348.000   0.000    0.39758E+00   0.46754E+00   0.13826E+00
 349.000   0.000    0.40589E+00   0.46935E+00   0.14593E+00
 350.000   0.000    0.41828E+00   0.47036E+00   0.13148E+00
 351.000   0.000    0.43193E+00   0.46862E+00   0.11745E+00
 352.000   0.000    0.47541E+00   0.46347E+00   0.11910E+00
 353.000   0.000    0.49043E+00   0.45926E+00   0.49057E-01
 354.000   0.000    0.48436E+00   0.46245E+00   0.43765E-01
 355.000   0.000    0.48353E+00   0.46523E+00   0.59214E-01
 356.000   0.000    0.47163E+00   0.46904E+00   0.53403E-01
 357.000   0.000    0.47425E+00   0.47002E+00   0.73697E-01
 358.000   0.000    0.47733E+00   0.46962E+00   0.64823E-01
 359.000   0.000    0.48026E+00   0.46869E+00   0.61953E-01
