eof_ts-msl-12,eof_ts-msl-13,eof_ts-msl-14,eof_ts-msl-15,eof_ts-msl-16,eof_ts-msl-17,eof_ts-msl-19,eof_ts-msl-20,eof_ts-msl-21,eof_ts-msl-22,eof_ts-msl-26,eof_ts-msl-28,eof_ts-msl-4,eof_ts-msl-5,eof_ts-msl-6,eof_ts-si10-10,eof_ts-si10-11,eof_ts-si10-12,eof_ts-si10-14,eof_ts-si10-16,eof_ts-si10-19,eof_ts-si10-2,eof_ts-si10-26,eof_ts-si10-28,eof_ts-si10-7,eof_ts-si10-8,eof_ts-sst-12,eof_ts-sst-14,eof_ts-sst-15,eof_ts-sst-16,eof_ts-sst-17,eof_ts-sst-19,eof_ts-sst-2,eof_ts-sst-21,eof_ts-sst-22,eof_ts-sst-27,eof_ts-sst-7,eof_ts-t2m-10,eof_ts-t2m-11,eof_ts-t2m-12,eof_ts-t2m-14,eof_ts-t2m-15,eof_ts-t2m-16,eof_ts-t2m-17,eof_ts-t2m-18,eof_ts-t2m-19,eof_ts-t2m-20,eof_ts-t2m-21,eof_ts-t2m-22,eof_ts-t2m-23,eof_ts-t2m-24,eof_ts-t2m-25,eof_ts-t2m-26,eof_ts-t2m-27,eof_ts-t2m-28,eof_ts-t2m-29,eof_ts-t2m-6,eof_ts-t2m-7,eof_ts-t2m-8,eof_ts-t2m-9
-0.3735197,-0.3033547,-0.4862385,-0.3992667,-1.069508,0.1888638,1.012547,-0.500412,-0.9708282,-0.834581,1.004472,0.06460632,-0.1631666,-0.07902253,1.092091,-0.2268744,0.7303652,-1.230666,-0.380594,-0.7820578,0.2230854,-0.1115784,-1.135602,-0.6832795,-0.4678721,0.3242359,0.04605167,-0.7478974,-0.2620876,-1.391169,0.4287923,0.2285659,0.05031132,-0.7229638,1.268464,-0.6172815,-0.825112,0.7754105,0.3013771,0.2169491,-0.4479629,-0.6267405,0.8363244,-0.4014524,-0.2871136,0.3180385,-1.040468,-0.3073498,0.2802803,0.2117651,0.2291416,0.6168992,-0.4468881,-0.2538786,-0.6771804,0.2453797,-0.1066814,-0.433518,-0.4831793,0.4844486
0.13491,0.7754961,-1.006782,-0.7700444,-1.513794,-0.01370472,0.2156645,-0.03573182,-1.616349,-0.5545526,0.4149028,1.653078,-0.6617293,-0.87868,0.8470984,-0.07757125,1.284948,-0.9129397,-0.05196571,-0.2595342,1.42465,-0.7411727,-1.57135,-0.0563071,-1.20208,1.045357,-0.6816921,-0.03050285,0.1061039,-0.5731103,0.9178389,0.6394637,0.6148684,-1.103794,0.645235,-1.10298,-0.05401557,1.06851,0.982649,0.647174,-0.862739,-0.7943389,0.9007068,-0.8108938,-0.5155616,0.9316036,0.1654168,-0.6710374,0.3502563,0.7466639,1.043173,0.7821456,-0.5008588,-0.8671589,-0.8612503,0.7140116,-0.734081,-0.843631,-0.8890035,0.8168252
-0.02782908,0.9925194,0.8143556,1.550336,0.3535773,1.186504,0.3131195,0.713545,0.4956053,0.8154129,1.773803,2.239384,-1.45068,-0.8783091,-1.659296,0.8015925,0.9199497,-0.8127396,-0.8801771,-0.6687787,1.237339,-1.05487,-0.405316,-0.6040743,-1.433483,0.3826858,-1.167659,0.7717805,0.5581571,0.3109379,0.7323645,0.4137498,0.8583612,-0.9265739,-1.005276,-1.127151,0.5166776,1.63978,1.365822,1.459263,-1.347215,-1.670795,1.490087,-1.361811,-1.487397,1.448814,0.8308223,-1.613237,1.322964,1.575025,1.517903,1.503567,-1.649117,-1.6306,-1.288858,1.760863,-1.783395,-1.4462,0.2525127,1.701231
-0.1309772,0.9634666,0.9404827,2.377425,0.3044419,1.862489,0.0707281,1.035931,2.175719,1.799575,1.54929,1.747622,-2.391203,-1.238903,-0.3117571,0.3798892,1.233169,-0.5676662,-1.226503,-0.6962292,1.173066,-1.391712,-0.2114469,1.038254,-1.326705,0.5203202,-0.7817212,1.212591,0.9067433,0.6002586,1.114303,0.3727599,1.046042,-0.7449183,-2.024811,-1.019527,0.7111462,1.144683,1.223913,1.389093,-1.217812,-1.539968,1.341254,-1.356803,-1.513838,1.16766,-0.4214912,-1.592151,1.5173,1.447469,1.315794,1.433367,-1.557574,-1.456825,-1.528667,1.706032,-1.200128,-1.371049,0.3966447,1.358062
-0.2035304,-0.1168636,0.8819208,1.928675,0.7521055,0.753073,1.270719,0.5733455,0.4799681,0.3595059,1.06532,0.07274716,-1.709684,-2.035536,-0.7018639,-0.05331037,1.216363,-0.7416164,0.2266765,-0.08878271,0.7035344,-1.269367,-0.4565399,0.1248303,-0.3131185,-0.02066853,-1.101807,1.088708,1.028025,0.5224141,1.112592,0.4534382,1.068761,-0.6749823,-1.609221,-0.9578894,0.5513934,0.6126604,1.11894,1.333195,-1.211504,-1.134462,1.09263,-1.085259,-1.160021,0.9080747,0.4138498,-1.117637,1.179912,1.085493,0.4032543,0.8702764,-1.249416,-0.9214274,-1.191948,1.146836,-1.04796,-1.160182,0.9391356,1.177672
-2.58068,-1.068261,1.709421,1.098142,1.765395,0.5093549,0.7627282,-0.07356607,1.722005,-0.06986945,0.3131062,1.437357,-0.07758296,-1.445992,0.2277818,-0.8514403,0.7015138,0.214452,0.7718626,-0.121177,-1.255101,-0.7404283,-0.6657241,-0.07115208,0.1991384,-1.255646,-0.5979667,0.8040422,1.272621,-0.1094727,1.215022,0.4889466,0.9076967,-0.420766,-0.7680588,-0.9675472,-0.2708854,-0.4355174,0.7207581,0.6781462,-0.6947178,-0.2489079,0.3300816,-0.4394526,-0.3720699,0.1873796,0.2883286,-0.3352628,0.4264501,0.2001272,-0.2267824,0.1981272,-0.5289602,-0.3397015,-0.3114106,-0.0004961816,0.1017925,-0.5259505,-0.1295752,0.313707
-1.285505,-0.3178656,1.407893,1.546574,1.684812,0.4509315,0.1513226,-0.9037283,0.4424047,0.1780518,0.1741143,0.7397634,0.04676207,0.009693524,-0.7316787,-1.626138,-0.2999398,-0.1472106,1.076189,0.4853267,-0.5636997,-0.008076801,0.865993,-0.401383,1.193684,-0.6522152,0.1859969,0.6325518,1.167371,-0.6770238,0.9084141,0.1927049,0.4745938,0.1662353,0.04858752,-0.9307151,-1.237022,-1.001621,-0.3654397,-0.4134811,0.3823465,0.5488987,-0.4548971,0.468959,0.3596975,-0.4742253,0.7267923,0.4499059,-0.1729401,-0.4871235,-0.5437949,-0.415987,0.05977025,0.4343376,0.687616,-0.5745677,0.6750088,0.3692612,-1.769933,-0.3217152
-1.207422,-1.720376,1.672879,0.6080544,1.323584,0.5394046,-0.1109155,0.2360141,1.46881,-0.06709518,-0.2164419,0.526337,-0.8022715,-1.771962,-1.643072,-0.8369765,-0.8740665,1.530602,0.8096346,1.089716,0.5246073,0.6790535,1.219932,-1.69449,0.8338274,-0.08384117,0.6246665,-0.4377715,0.4445455,-1.238102,0.1099523,-0.5871582,-0.3373569,0.9400061,0.1135032,-0.2165073,-1.986612,-1.364876,-1.062437,-0.9170524,1.113578,1.087333,-1.067996,1.021661,1.104668,-0.9474424,0.7851464,1.006701,-0.7793783,-0.9212211,-0.8799188,-1.101117,0.804851,0.9009925,1.042477,-1.053987,1.061148,1.055083,-1.198389,-1.025568
-2.894606,-1.311635,2.355682,-0.07173081,1.411562,-0.8131642,0.08330008,0.0738478,0.1434858,-1.209498,1.3697,1.547628,1.091151,-1.201473,-1.106812,-0.8787016,-1.134514,1.581406,1.809836,1.270059,0.2625575,1.232232,0.944928,-1.984561,0.88645,-0.4902013,0.8178841,-1.014384,-0.4477539,-1.367571,-0.7624187,-1.42333,-1.195257,1.479319,-0.0140925,1.065793,-1.977376,-1.387896,-1.309867,-1.233576,1.367491,1.373641,-1.429557,1.366578,1.591941,-1.23176,1.157657,1.398827,-1.628751,-1.338952,-1.155225,-1.415451,0.7336786,1.316231,1.301564,-1.40611,1.367393,1.383057,-3.015635,-1.33791
-0.6951513,-0.7068719,-0.2245803,0.4471059,1.070453,-0.843314,-0.6226364,0.4848689,-0.4113804,0.06991506,0.658958,-0.04995991,0.6506347,0.6971838,-1.168941,-0.5203954,-1.584783,1.193327,2.004822,2.417104,0.3033787,1.48531,1.237602,-1.304265,1.81924,-0.7320778,1.116444,-1.500505,-1.285754,0.2340006,-1.370365,-1.975414,-1.721336,1.564666,-1.300397,1.338617,-1.596308,-1.007055,-1.124544,-1.224428,1.205337,1.140635,-1.290865,1.232301,1.227957,-1.292006,0.1528932,1.238824,-1.144803,-1.308638,-0.6093024,-1.331898,0.8334455,1.394591,1.083706,-1.25949,1.119557,1.237735,-1.922744,-1.12648
